F2 (fluorine),157
ArF (argon fluoride),193.4
KrF (krypton fluoride),249
dye laser,7E+02
He-Cd (helium-cadmium),325.1
N2 (nitrogen),337
Ar ion (argon ion),351.212
Kr ion (krypton ion),413.25
Cu (copper),510.696
frequency doubled Nd YAG (neodymium doped yttrium-aluminium-garnet),532.275
He-Ne (helium-neon),543.516
InGaAlP (indium gallium aluminium phosphide),6.7E+02
Ti sapphire (titanium-sapphire),8.9E+02
Cr ruby (chromium ruby),694.5
BeAl2O4 (alexandrite),8E+02
GaAlAs (gallium aluminium arsenide),9E+02
F-center,2.1E+03
GaAs (gallium arsenide),8.9E+02
Nd YAG (neodymium doped yttrium-aluminium-garnet),1064
InGaAsP (indium gallium aluminium arsenide),1.4E+03
Er glass (erbium doped glass),1.54E+03
Er YLF (erbium doped yttrium lithium fluoride),1.73E+03
Xe (xenon),2026.777
Ho YLF (holmium doped yttrium lithium fluoride),2.06E+03
CO (carbon monoxide),6E+03
CO2 (carbon dioxide),1E+04
N2O (nitrous oxide),1.07E+04
NH3 (ammonia),1.2E+04
CF4 (carbon tetrafluoride),1.59E+04
CH3OH (methanol),42159.1
DCN (deuterium cyanide),194702.7
CH2F2 (difluoromethane),214579
HCN (hydrogen cyanide),336557.8
D2O,3.85E+05
C2H3Br (vinyl bromide),963487.3
HF (hydrogen fluoride),3E+03
DF (deuterium fluoride),3E+03
I (indium),1315.244
lead salt,1.7E+04
CO2 wg,1E+04
CO2 atm,1E+04
H2O,27970.75